ci_low,ci_high,ci_level,ci_sidedness,ci_method,ci_status,predictor,outcome,n,df_resid,beta,se,t,p,p_two_tailed,r_squared,adj_r_squared
-0.3448044455939638,0.6654445194670673,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_neg_vs_neu,PA_score,81,65,0.16032003693655178,0.2529241873623123,0.6338659762377503,0.2641963278616454,0.5283926557232907,0.16515017005464827,-0.02750748300966377
-0.20391671236613967,0.03649489884247968,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_neg_vs_neu,NA_score,81,65,-0.08371090676182999,0.06018903606966904,-1.3907999235098947,0.08451463158288351,0.16902926316576702,0.21263746100977832,0.030938413550496313
-2.0243642876355556,0.03952489675457316,95.0,two-sided,student_t,ok,l_amyg-ant_vmPFC_neg_vs_neu,NA_score_log,81,65,-0.9924196954404914,0.516711734256717,-1.9206447805333353,0.02958257007011617,0.05916514014023234,0.29589629415580687,0.13341082357637768
-0.45193546092780934,0.5694042254957637,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_neg_vs_neu,PA_score,81,65,0.058734382283977205,0.2557008412218026,0.22969960522354807,0.4095232506282279,0.8190465012564558,0.16067099410457464,-0.03302031494821578
-0.1765398896981238,0.06796722262920285,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_neg_vs_neu,NA_score,81,65,-0.05428633353446046,0.06121437866155965,-0.8868232386151828,0.18922179190744742,0.37844358381489485,0.19889923752720517,0.014029830802714027
-1.476361037822214,0.6531029585440867,95.0,two-sided,student_t,ok,l_amyg-post_vmPFC_neg_vs_neu,NA_score_log,81,65,-0.4116290396390637,0.533128931011289,-0.7721003601478673,0.22142661205336706,0.4428532241067341,0.2626990983499723,0.09255273643073503
