persistence_var,n,beta_age,se_age,t_age,p_age,p_age_one_tailed,r_squared,adj_r_squared,tier
neg_persist_crossrun_mean_z_L,152,-0.0014625503866565197,0.001356799806722099,-1.077941181455431,0.2834841581928694,0.1417420790964347,0.3535890312395642,0.0877751749268616,primary
neg_persist_crossrun_mean_z_R,152,0.0008073291336361326,0.0012831143335916755,0.6291950081925033,0.5305624546755181,0.734718772662241,0.30180482015205257,0.014696521896821801,secondary
neg_persist_crossrun_mean_z_bilateral,152,-7.366676177765296e-05,0.0010362572050359254,-0.07108926376545585,0.943459414652214,0.471729707326107,0.32526408363297277,0.04780258531382131,sensitivity
pos_persist_crossrun_mean_z_L,152,-0.0003398335152254541,0.0014573284482547874,-0.2331893785731138,0.8160598649828916,0.4080299324914458,0.3194163881397354,0.03955022999158919,sensitivity
pos_persist_crossrun_mean_z_R,152,0.0018489223897929928,0.0013332532252412143,1.3867751112760165,0.1683927179092874,0.9158036410453563,0.34588911763887453,0.07690894171467333,sensitivity
pos_persist_crossrun_mean_z_bilateral,152,0.0010121750715750251,0.001090296121669117,0.9283487774179205,0.3553161615734418,0.822341919213279,0.26486106781193697,-0.037439053835490954,sensitivity
neg_persist_concat_z_L,150,-0.0015964834180449451,0.0035646295944856297,-0.4478679693718121,0.6551624929518671,0.32758124647593356,0.2893170020635131,0.001021068938334424,sensitivity
neg_persist_concat_z_R,150,-0.0036932147917657352,0.003437569937976795,-1.0743678989523051,0.28509737461491674,0.14254868730745837,0.20707720086981352,-0.11458016104148849,sensitivity
neg_persist_concat_z_bilateral,150,-0.003244622039209081,0.003102708608654349,-1.0457385621578816,0.2980605831632488,0.1490302915816244,0.23793719969007443,-0.07120148345451804,sensitivity
